"realism"	"acceptability"
1	5
3	14
6	23
6	19
6	24
8	30
10	34
10	37
11	38
12	41
14	49
14	50
15	51
15	54
17	56
19	59
20	64
20	61
21	66
22	72
26	73
28	80
30	82
30	84
31	88
32	87
32	90
34	88
35	89
35	90
36	92
36	90
36	91
37	91
37	95
37	95
39	97
39	100
39	95
41	98
42	100
42	99
43	98
45	97
45	98
49	97
50	97
51	99
51	100
52	100
52	99
53	96
53	100
54	100
56	100
57	94
59	96
59	100
60	96
60	99
62	95
62	94
63	95
63	89
67	88
67	89
68	90
69	88
69	86
71	84
75	75
75	72
77	71
77	71
78	70
79	66
79	67
79	70
80	61
81	62
82	58
83	56
83	53
84	52
85	51
86	46
86	51
87	45
90	30
91	31
92	34
93	30
93	28
93	26
94	24
94	21
95	16
97	7
97	7
98	6
