"Architecture"	"Complexity"	"Convergence"
"architecture 1"	100	FALSE
"architecture 1"	102	FALSE
"architecture 1"	102	FALSE
"architecture 1"	103	FALSE
"architecture 1"	104	FALSE
"architecture 1"	106	FALSE
"architecture 1"	107	TRUE
"architecture 1"	107	FALSE
"architecture 1"	107	FALSE
"architecture 1"	107	FALSE
"architecture 1"	107	FALSE
"architecture 1"	108	FALSE
"architecture 1"	110	FALSE
"architecture 1"	113	FALSE
"architecture 1"	113	FALSE
"architecture 1"	115	FALSE
"architecture 1"	115	FALSE
"architecture 1"	117	FALSE
"architecture 1"	124	FALSE
"architecture 1"	127	FALSE
"architecture 1"	144	FALSE
"architecture 1"	144	TRUE
"architecture 1"	145	FALSE
"architecture 1"	147	FALSE
"architecture 1"	148	FALSE
"architecture 1"	149	FALSE
"architecture 1"	150	FALSE
"architecture 1"	152	FALSE
"architecture 1"	152	FALSE
"architecture 1"	153	FALSE
"architecture 1"	155	FALSE
"architecture 1"	161	FALSE
"architecture 1"	166	FALSE
"architecture 1"	166	FALSE
"architecture 1"	167	FALSE
"architecture 1"	168	FALSE
"architecture 1"	170	FALSE
"architecture 1"	170	FALSE
"architecture 1"	170	FALSE
"architecture 1"	170	FALSE
"architecture 1"	171	TRUE
"architecture 1"	171	FALSE
"architecture 1"	173	TRUE
"architecture 1"	177	FALSE
"architecture 1"	177	FALSE
"architecture 1"	180	TRUE
"architecture 1"	180	FALSE
"architecture 1"	184	FALSE
"architecture 1"	187	FALSE
"architecture 1"	191	FALSE
"architecture 1"	195	FALSE
"architecture 1"	198	TRUE
"architecture 1"	198	FALSE
"architecture 1"	198	FALSE
"architecture 1"	199	FALSE
"architecture 1"	201	FALSE
"architecture 1"	209	TRUE
"architecture 1"	211	FALSE
"architecture 1"	215	FALSE
"architecture 1"	216	FALSE
"architecture 1"	219	TRUE
"architecture 1"	226	TRUE
"architecture 1"	229	FALSE
"architecture 1"	235	FALSE
"architecture 1"	236	TRUE
"architecture 1"	238	FALSE
"architecture 1"	240	FALSE
"architecture 1"	243	TRUE
"architecture 1"	243	TRUE
"architecture 1"	244	FALSE
"architecture 1"	245	TRUE
"architecture 1"	246	TRUE
"architecture 1"	248	TRUE
"architecture 1"	249	FALSE
"architecture 1"	249	TRUE
"architecture 1"	249	FALSE
"architecture 1"	256	TRUE
"architecture 1"	257	FALSE
"architecture 1"	261	TRUE
"architecture 1"	263	TRUE
"architecture 1"	264	TRUE
"architecture 1"	269	TRUE
"architecture 1"	272	TRUE
"architecture 1"	274	FALSE
"architecture 1"	275	TRUE
"architecture 1"	280	FALSE
"architecture 1"	282	FALSE
"architecture 1"	283	TRUE
"architecture 1"	285	TRUE
"architecture 1"	285	FALSE
"architecture 1"	289	TRUE
"architecture 1"	289	TRUE
"architecture 1"	289	FALSE
"architecture 1"	291	TRUE
"architecture 1"	292	TRUE
"architecture 1"	292	FALSE
"architecture 1"	294	FALSE
"architecture 1"	295	TRUE
"architecture 1"	296	TRUE
"architecture 1"	298	TRUE
"architecture 2"	102	FALSE
"architecture 2"	104	FALSE
"architecture 2"	105	FALSE
"architecture 2"	108	FALSE
"architecture 2"	109	TRUE
"architecture 2"	111	TRUE
"architecture 2"	112	FALSE
"architecture 2"	112	FALSE
"architecture 2"	113	FALSE
"architecture 2"	113	FALSE
"architecture 2"	115	FALSE
"architecture 2"	119	FALSE
"architecture 2"	125	FALSE
"architecture 2"	127	TRUE
"architecture 2"	127	FALSE
"architecture 2"	128	FALSE
"architecture 2"	130	FALSE
"architecture 2"	132	FALSE
"architecture 2"	132	FALSE
"architecture 2"	132	FALSE
"architecture 2"	133	FALSE
"architecture 2"	136	TRUE
"architecture 2"	138	FALSE
"architecture 2"	138	FALSE
"architecture 2"	138	FALSE
"architecture 2"	138	FALSE
"architecture 2"	141	FALSE
"architecture 2"	142	FALSE
"architecture 2"	145	FALSE
"architecture 2"	148	FALSE
"architecture 2"	148	FALSE
"architecture 2"	152	FALSE
"architecture 2"	154	TRUE
"architecture 2"	155	FALSE
"architecture 2"	156	FALSE
"architecture 2"	158	FALSE
"architecture 2"	160	TRUE
"architecture 2"	162	TRUE
"architecture 2"	165	FALSE
"architecture 2"	166	FALSE
"architecture 2"	172	FALSE
"architecture 2"	172	TRUE
"architecture 2"	180	TRUE
"architecture 2"	182	FALSE
"architecture 2"	183	TRUE
"architecture 2"	186	FALSE
"architecture 2"	187	FALSE
"architecture 2"	188	TRUE
"architecture 2"	188	TRUE
"architecture 2"	188	FALSE
"architecture 2"	191	TRUE
"architecture 2"	193	FALSE
"architecture 2"	196	TRUE
"architecture 2"	198	FALSE
"architecture 2"	200	FALSE
"architecture 2"	204	FALSE
"architecture 2"	206	TRUE
"architecture 2"	208	TRUE
"architecture 2"	209	TRUE
"architecture 2"	218	TRUE
"architecture 2"	222	TRUE
"architecture 2"	222	TRUE
"architecture 2"	224	TRUE
"architecture 2"	225	TRUE
"architecture 2"	227	TRUE
"architecture 2"	228	FALSE
"architecture 2"	234	TRUE
"architecture 2"	239	FALSE
"architecture 2"	239	TRUE
"architecture 2"	241	TRUE
"architecture 2"	244	TRUE
"architecture 2"	245	FALSE
"architecture 2"	246	FALSE
"architecture 2"	247	TRUE
"architecture 2"	250	TRUE
"architecture 2"	251	TRUE
"architecture 2"	253	TRUE
"architecture 2"	255	TRUE
"architecture 2"	258	FALSE
"architecture 2"	260	TRUE
"architecture 2"	264	TRUE
"architecture 2"	264	TRUE
"architecture 2"	266	TRUE
"architecture 2"	272	TRUE
"architecture 2"	275	TRUE
"architecture 2"	277	FALSE
"architecture 2"	277	TRUE
"architecture 2"	279	TRUE
"architecture 2"	279	TRUE
"architecture 2"	282	TRUE
"architecture 2"	284	TRUE
"architecture 2"	285	TRUE
"architecture 2"	286	FALSE
"architecture 2"	293	TRUE
"architecture 2"	294	TRUE
"architecture 2"	297	TRUE
"architecture 2"	298	FALSE
"architecture 2"	298	TRUE
"architecture 2"	299	TRUE
"architecture 2"	300	TRUE
