"Architecture"	"Complexity"	"Convergence"
"architecture 1"	103	FALSE
"architecture 1"	105	FALSE
"architecture 1"	112	FALSE
"architecture 1"	112	FALSE
"architecture 1"	114	FALSE
"architecture 1"	117	FALSE
"architecture 1"	120	FALSE
"architecture 1"	122	FALSE
"architecture 1"	124	FALSE
"architecture 1"	125	FALSE
"architecture 1"	129	FALSE
"architecture 1"	135	FALSE
"architecture 1"	137	FALSE
"architecture 1"	140	FALSE
"architecture 1"	141	FALSE
"architecture 1"	141	FALSE
"architecture 1"	142	FALSE
"architecture 1"	148	FALSE
"architecture 1"	149	FALSE
"architecture 1"	149	FALSE
"architecture 1"	152	FALSE
"architecture 1"	153	FALSE
"architecture 1"	153	FALSE
"architecture 1"	159	FALSE
"architecture 1"	163	FALSE
"architecture 1"	165	FALSE
"architecture 1"	166	FALSE
"architecture 1"	167	FALSE
"architecture 1"	168	TRUE
"architecture 1"	168	FALSE
"architecture 1"	169	FALSE
"architecture 1"	174	FALSE
"architecture 1"	176	TRUE
"architecture 1"	176	FALSE
"architecture 1"	177	FALSE
"architecture 1"	177	FALSE
"architecture 1"	178	FALSE
"architecture 1"	180	FALSE
"architecture 1"	181	FALSE
"architecture 1"	182	FALSE
"architecture 1"	182	FALSE
"architecture 1"	187	FALSE
"architecture 1"	188	FALSE
"architecture 1"	191	FALSE
"architecture 1"	192	TRUE
"architecture 1"	195	FALSE
"architecture 1"	195	TRUE
"architecture 1"	196	FALSE
"architecture 1"	196	TRUE
"architecture 1"	196	FALSE
"architecture 1"	199	FALSE
"architecture 1"	200	FALSE
"architecture 1"	204	FALSE
"architecture 1"	206	FALSE
"architecture 1"	211	FALSE
"architecture 1"	215	FALSE
"architecture 1"	220	TRUE
"architecture 1"	226	TRUE
"architecture 1"	228	FALSE
"architecture 1"	229	TRUE
"architecture 1"	230	FALSE
"architecture 1"	230	FALSE
"architecture 1"	232	TRUE
"architecture 1"	232	TRUE
"architecture 1"	234	FALSE
"architecture 1"	237	FALSE
"architecture 1"	239	TRUE
"architecture 1"	242	TRUE
"architecture 1"	243	FALSE
"architecture 1"	244	FALSE
"architecture 1"	245	TRUE
"architecture 1"	246	TRUE
"architecture 1"	251	TRUE
"architecture 1"	253	TRUE
"architecture 1"	254	TRUE
"architecture 1"	255	TRUE
"architecture 1"	255	TRUE
"architecture 1"	256	TRUE
"architecture 1"	257	TRUE
"architecture 1"	258	TRUE
