"realism"	"acceptability"
6	22
7	24
7	29
8	30
8	32
8	34
9	34
11	41
11	40
14	47
14	51
15	50
15	50
16	52
17	60
18	60
18	55
18	59
19	64
22	66
23	74
23	70
24	74
27	78
27	82
27	76
28	80
28	79
29	84
31	90
31	83
33	89
33	89
35	94
35	89
35	92
36	96
37	93
38	92
38	94
40	97
40	94
41	100
42	97
42	92
43	96
44	100
44	97
46	99
46	100
47	96
47	100
49	100
49	100
49	100
50	100
51	100
54	100
56	97
56	99
58	98
59	98
62	92
66	93
66	91
66	94
67	84
68	86
70	81
70	83
72	81
73	83
76	72
78	66
78	67
80	66
81	61
81	64
81	60
83	53
84	57
84	52
84	55
85	53
86	50
86	50
89	40
93	25
93	27
93	26
95	19
96	17
97	8
97	11
98	9
98	9
99	4
99	5
99	4
100	2
